numero,pregunta,a,b,c,d,respuestas
26,"Hey Mark, where ____ you ____ last night?\nI went to the supermarket, why?",did / go,did / went,do / went,do / go,a
27,I _____ to her yesterday but I didn’t _____ to you! I swear!,talk / lied,talked / lied,talked / lie,talk / lie,c
28,"How ______ sugar do you like in your coffee?\nI like my coffee with _____ sugar, not much.",many / any,much / some,many / some,much / any,b
29,"My sister has sleeping problems, can you give me some advice for her?\nShe _____ avoid using her cell phone at night and she _______ drink coffee either.",needs / doesn’t have to,should / shouldn’t,can / could,must / might,c
30,"I hate my legs! they are ____ fat. My hair is _____ pretty, though.",too / Too,really / too,too / really,,b
31,"What is all this mess? What did you do, Joe?\nI’m sorry, mom!\n___ to your room right now! You’re grounded!",Went,Going,Go,Gone,c
32,I ____________ on the phone when my friend Carl knocked on the door.,am talking,were talking,was talking,is talking,c
33,This is the _________ car in the world but I’m afraid it’s not ________.,most expensive / faster,most expensive / the fastest,most expensive / the faster,expensivest / the fastest,b
34,She __________ stay in that hotel on her trip. She’s already booked a room there for a week.,is going to,will,might,is not going to,a
35,"Sorry, I can’t talk right now. I_________ call you back later.",am going to,will,will to,definitely,b
36,"_____ you ever _____ Japanese food?\nYes, of course! My grandmother is Japanese.",Had / eating,Are / eating,Have / ate,Have / eaten,d
37,I ___________ driven a car! I hope I will get to drive one next year!,yet haven’t,still haven’t,yet have,still have,b
38,"Look at that woman on the stage! She is singing my favorite song!\nYes, she sings ________.",beautiful,beautifully,good,perfect,b
39,"Excuse me, do you know ___________ ?",where is the bus station,where can I find the bus station,where the bus station is,where can be found the bus station,c
40,"(end of pre-intermediate)\nThere are a lot of things to do in this house! Mark, you ____ the laundry and… Mary, you _____ breakfast while I ____ the ironing.",make / make / do,do / do / make,do / do / do,do / make / do,d
41,"________ are going to beat ______ in the upcoming tournament, I’m sure of that!\nYes! we are a great team!",You and me / they,You and I / them,You and me / them,You and I / they,b
42,"Sarah spends too much time in front of the mirror!\nYes, she really loves _______ a bit too much.",she,herself,myself,her,b
43,Marie and Joseph are always arguing and insulting _______.,them,themselves,herself,each other,d
44,"Both of them ____ very competitive!\nYes, you are right. Neither of them ______ to lose!",are / wants,are / want,is / wants,is / want,a
45,"When I was a kid, I _______ walk 10km to go to school everyday.",was used to,used to,will,went to,b
46,"She really likes playing volleyball, _________?",doesn’t she?,does she?,is she?,isn’t she?,a
47,"If you ______ your room, you ________ to the party tonight.",cleaned / go,clean / would go,cleaned / would go,clean / will go,d
48,I wanted to ____ together with my friends in the club tonight!,go,be,get,have,c
49,The environment ___________ get better if we continue to pollute the air like we do!,will definitely,won’t definitely,definitely will,definitely won’t,d
50,I have _________ this book for weeks and I think I will never finish it! It’s too long!,read,been read,been reading,reading,c
51,My parents usually make me ________ my homework and they never let me_____ outside with the other kids!,do / play,to do / to play,to do / play,do / to play,a
52,"When I arrived at the restaurant Mark _________.\nReally?\nYes, he ____________ for me for more than one hour.",has left / was waiting,had left / had been waiting,left / was waiting,had been leaving / waited,b
53,"Joseph _______ me that he was leaving the country today.\nYes, he _______ the same thing in the meeting the other day.",said / told,said / said,told / told,told / said,d
54,Did you hear what the boss said yesterday?\nNo! What did he say?\nHe said that ________________,"he was going to promote Mary, the secretary.","he is going to promote Mary, the secretary.","he will promote Mary, the secretary.","he went to promote Mary, the secretary.",a
55,Million of books__________ everyday.,will print,are print,printed,are printed,d
56,"My son, ______ is a lawyer, works in that big building over there!",which,who,that,whom,b
57,"If I ______ a lot of money, I _________ buy a big house in the hills.",have / would,had / will,had / would,would / will,c
58,"Where _____ you go if you _____ fly?\nTo the North Pole, definitely!",would / could,will / can,can / will,could / would,a
59,I hate living in this small town! If only ______  somewhere else!,I can live,I could live,I could lived,could I live,b
60,(end of intermediate)\nI wish ________ in a big city!,I lived,I am living,I can live,I would live,a
61,I hate having to walk to school!\nI don’t hate it. I ______ used to _____ it every day.,will / do,am / doing,am / do,— / doing,b
62,"We had an incredible time at the party last night!\nOhh, if only I ________ you guys! now I regret it.",joined,did join,had joined,have joined,c
63,"You haven’t found your keys____, have you?\nNo, I ______ haven’t.",yet / already,still / yet,yet / yet,yet / still,d
64,Why hasn’t the teacher arrived?\nI don’t know. He _________  in traffic.,was caught,might have caught,might have been caught,was definitely caught,c
65,"Why do people care more about social media sites than the real life?\nThat’s not true, it’s mostly teenagers. ________ people or so, you know.",15-years-old,15-year-old,15 year old,15 years old,b
66,Martial arts were created in _______ to fight attackers back!,relation,consequence,intention,order,d
67,My mother feels really bad!\nI suggest ________________ to the doctor.,her to go,that she go,that she goes,her go,b
68,"If I _______________ to that party, I __________ a great time! Too bad I didn’t go.",had gone / would have had,had gone / would have,went / would have had,go / would,a
69,"When you wake up tomorrow morning, I ________ driving my car 100 km away from here.",be,will be,will,would be,b
70,(end of upper-intermediate)\nWe need that report by Monday morning urgently!\nI will ________ the report by tomorrow morning for sure.,have written,write,have had written,writing,a
71,You are _______ a good person. You are always helping others and that’s ___ amazing!,so / so,such / so,such / such,so / such,b
72,"I am selling a ______________ table from the 18th century, are you interested?\nThanks but no, thanks. I prefer modern things.","beautiful, wooden, round","round, wooden, beautiful","beautiful, round, wooden","wooden, beautiful, round",c
73,"This product is amazing! Not only________ clean and dry with it, but you can also use it as a tablecloth!",you can,can you,can,you,b
74,Nobody knew it at that time but he ______ one of the most successful pop artist ten years later!,will become,would become,became,would have become,b
75,"I have a big collection of cars, ___________ are Ferrari!",from three,three of which,three of whom,from which three,b
